,City_Name,City_Lat,City_Long,Temperature,Humidity,Cloudiness,Wind_Speed,Country,Date
66,Saint-Philippe,-21.3585,55.7679,66.94,86,43,9.28,RE,2021-06-16 01:33:31
67,Mercedes,-34.6515,-59.4307,39.54,65,84,7.38,AR,2021-06-16 01:33:33
68,Pisco,-13.7,-76.2167,64.45,77,0,10.36,PE,2021-06-16 01:33:34
69,Hithadhoo,-0.6,73.0833,83.07,72,14,8.25,MV,2021-06-16 01:33:35
70,Butaritari,3.0707,172.7902,83.03,78,100,16.46,KI,2021-06-16 01:24:22
71,Mattru,7.6244,-11.8332,73.44,97,100,0.87,SL,2021-06-16 01:33:37
72,Kirakira,-10.4544,161.9205,84.87,71,28,7.34,SB,2021-06-16 01:33:38
73,Tarakan,3.3,117.6333,80.1,83,75,2.3,ID,2021-06-16 01:33:39
74,Kasaoka,34.5,133.5,70.83,95,100,9.42,JP,2021-06-16 01:33:40
75,Marabu,4.4148,114.0089,86.14,74,20,0.0,MY,2021-06-16 01:33:41
76,Ahipara,-35.1667,173.1667,61.5,80,19,7.99,NZ,2021-06-16 01:33:43
77,Malakal,9.5334,31.6605,75.04,81,88,4.07,SS,2021-06-16 01:33:44
78,Cerritos,33.8583,-118.0648,86.58,44,75,5.99,US,2021-06-16 01:32:04
79,Hirara,24.8,125.2833,88.07,84,75,14.97,JP,2021-06-16 01:33:46
80,Jiayuguan City,39.8167,98.3,61.18,26,68,3.33,CN,2021-06-16 01:33:47
81,Ghanzi,-21.5667,21.7833,53.56,35,55,5.91,BW,2021-06-16 01:33:48
82,Avarua,-21.2078,-159.775,78.85,69,20,17.27,CK,2021-06-16 01:33:49
83,Saldanha,-33.0117,17.9442,51.85,85,94,8.55,ZA,2021-06-16 01:33:50
84,Arlit,18.7369,7.3853,88.41,13,0,7.49,NE,2021-06-16 01:33:52
85,Sahuaripa,29.05,-109.2333,97.21,29,95,11.41,MX,2021-06-16 01:33:53
86,Nantucket,41.2835,-70.0995,65.12,94,90,8.05,US,2021-06-16 01:33:54
87,Tekeli,44.83,78.8239,65.57,39,98,3.85,KZ,2021-06-16 01:33:55
88,Bayonet Point,28.3267,-82.6834,80.67,82,100,1.01,US,2021-06-16 01:33:56
89,Tucumã,-0.1833,-50.05,75.25,93,48,5.39,BR,2021-06-16 01:33:58
90,Carnarvon,-24.8667,113.6333,59.07,44,3,16.11,AU,2021-06-16 01:33:59
91,Kushiro,42.975,144.3747,52.75,93,75,8.05,JP,2021-06-16 01:34:00
92,Port Macquarie,-31.4333,152.9167,66.63,54,0,3.18,AU,2021-06-16 01:34:01
93,Yulara,-25.2406,130.9889,53.44,37,74,8.05,AU,2021-06-16 01:34:02
94,Jamestown,42.097,-79.2353,61.79,51,1,5.75,US,2021-06-16 01:31:05
95,Benguela,-12.5763,13.4055,70.07,76,6,3.89,AO,2021-06-16 01:34:04
96,São Félix do Xingu,-6.6447,-51.995,74.28,74,33,1.32,BR,2021-06-16 01:34:05
97,Conde,-7.2597,-34.9075,72.86,94,20,9.22,BR,2021-06-16 01:34:06
98,Thinadhoo,0.5333,72.9333,83.32,73,63,9.71,MV,2021-06-16 01:34:08
99,Richards Bay,-28.783,32.0377,67.66,46,100,14.23,ZA,2021-06-16 01:34:09
100,Mataura,-46.1927,168.8643,50.49,93,100,0.67,NZ,2021-06-16 01:34:10
101,Biltine,14.5333,20.9167,88.39,34,85,14.41,TD,2021-06-16 01:34:11
102,Lagoa,39.05,-27.9833,68.36,91,100,13.78,PT,2021-06-16 01:24:12
103,Amherst,41.3978,-82.2224,62.35,53,1,10.36,US,2021-06-16 01:30:26
104,Westport,41.1415,-73.3579,68.99,75,1,1.01,US,2021-06-16 01:30:57
105,Rawlins,41.7911,-107.2387,89.49,7,1,5.75,US,2021-06-16 01:34:15
106,Palakkad,10.7833,76.65,78.85,78,100,12.66,IN,2021-06-16 01:32:08
107,Indramayu,-6.3264,108.32,79.41,81,97,12.68,ID,2021-06-16 01:34:17
108,Opuwo,-18.0607,13.84,52.77,37,58,2.28,NA,2021-06-16 01:34:18
109,Lompoc,34.6391,-120.4579,70.36,68,1,14.97,US,2021-06-16 01:34:19
110,Buraidah,26.326,43.975,84.65,17,3,10.02,SA,2021-06-16 01:34:20
111,Hokitika,-42.7167,170.9667,54.19,85,97,5.08,NZ,2021-06-16 01:34:22
112,Boa Vista,2.8197,-60.6733,76.98,83,40,4.61,BR,2021-06-16 01:34:23
113,Akdepe,42.0551,59.3788,69.89,24,1,8.12,TM,2021-06-16 01:34:24
114,Bolama,11.5833,-15.4667,79.14,74,100,7.58,GW,2021-06-16 01:34:25
115,Ulladulla,-35.35,150.4667,61.11,48,0,4.94,AU,2021-06-16 01:34:26
116,Saint Paul Harbor,57.79,-152.4072,53.11,71,1,9.22,US,2021-06-16 01:33:15
117,Kota Belud,6.351,116.4305,87.66,64,50,3.74,MY,2021-06-16 01:34:28
118,Kanigoro,-8.13,112.219,82.4,68,86,2.75,ID,2021-06-16 01:34:30
119,Vila Franca do Campo,37.7167,-25.4333,66.61,92,93,5.41,PT,2021-06-16 01:34:31
120,Celestún,20.8667,-90.4,78.93,82,100,8.01,MX,2021-06-16 01:34:32
121,Bambous Virieux,-20.3428,57.7575,68.25,100,75,4.61,MU,2021-06-16 01:34:33
122,Mēga,4.05,38.3,56.12,85,100,13.67,ET,2021-06-16 01:34:34
123,Metro,-5.1131,105.3067,82.22,77,72,6.08,ID,2021-06-16 01:34:35
124,Huarmey,-10.0681,-78.1522,66.63,85,74,9.48,PE,2021-06-16 01:34:36
125,Saint George,37.1041,-113.5841,106.43,9,1,1.99,US,2021-06-16 01:31:01
126,Fairhope,30.523,-87.9033,81.45,83,40,0.0,US,2021-06-16 01:34:38
127,Araouane,18.9048,-3.5265,93.25,22,0,8.14,ML,2021-06-16 01:34:40
128,Vicuña,-30.0319,-70.7081,51.53,90,83,2.3,CL,2021-06-16 01:34:41
129,Naze,28.3667,129.4833,81.52,78,100,22.03,JP,2021-06-16 01:34:42
130,Cairns,-16.9167,145.7667,83.21,74,75,4.61,AU,2021-06-16 01:33:04
131,Djambala,-2.5447,14.7533,70.2,76,65,4.79,CG,2021-06-16 01:34:44
132,Shelbyville,35.4834,-86.4603,71.26,64,1,4.61,US,2021-06-16 01:34:45
133,Ribeira Grande,38.5167,-28.7,68.9,93,100,10.07,PT,2021-06-16 01:34:46
134,Ugoofaaru,5.6667,73.0,82.78,72,99,17.81,MV,2021-06-16 01:34:47
135,Kidal,18.4411,1.4078,90.93,12,1,6.35,ML,2021-06-16 01:34:48
136,Codrington,-38.2667,141.9667,54.61,73,22,12.53,AU,2021-06-16 01:34:50
137,Nago,26.5881,127.9761,85.8,86,100,15.66,JP,2021-06-16 01:34:51
138,Odienné,9.51,-7.5692,71.73,94,100,4.14,CI,2021-06-16 01:34:52
139,Airai,-8.9266,125.4092,71.24,52,31,3.15,TL,2021-06-16 01:34:53
140,Korla,41.7597,86.1469,72.77,19,100,15.59,CN,2021-06-16 01:34:54
141,Provideniya,64.3833,-173.3,41.11,75,73,6.71,RU,2021-06-16 01:34:55
142,Cidreira,-30.1811,-50.2056,56.57,70,100,12.59,BR,2021-06-16 01:34:57
143,Aurora,39.7294,-104.8319,90.52,21,75,3.0,US,2021-06-16 01:30:03
144,Pocatello,42.8713,-112.4455,80.85,21,1,7.0,US,2021-06-16 01:34:59
145,Ontario,34.0633,-117.6509,96.03,29,75,1.01,US,2021-06-16 01:32:55
146,São João da Barra,-21.6403,-41.0511,67.51,72,0,4.59,BR,2021-06-16 01:35:01
147,Casambalangan,18.3765,122.1274,88.52,64,94,4.38,PH,2021-06-16 01:35:02
148,Samarai,-10.6167,150.6667,81.61,78,42,11.83,PG,2021-06-16 01:35:03
149,Taoudenni,22.6783,-3.9836,99.1,8,0,11.41,ML,2021-06-16 01:35:04
150,Kasongo-Lunda,-6.4667,16.8167,63.82,49,3,1.07,CD,2021-06-16 01:35:06
151,Buin,-33.7333,-70.75,48.2,94,61,1.52,CL,2021-06-16 01:35:07
152,Laguna,38.421,-121.4238,89.33,14,1,4.0,US,2021-06-16 01:35:08
153,Port Elizabeth,-33.918,25.5701,58.1,67,100,4.56,ZA,2021-06-16 01:35:09
154,Souillac,-20.5167,57.5167,68.38,100,75,4.61,MU,2021-06-16 01:35:10
155,Bac Lieu,9.285,105.7244,85.69,68,78,9.93,VN,2021-06-16 01:35:06
156,Acaraú,-2.8856,-40.12,76.51,89,21,9.82,BR,2021-06-16 01:35:12
157,Daoukro,7.0591,-3.9631,71.67,99,70,3.27,CI,2021-06-16 01:35:14
158,Sirte,31.2089,16.5887,71.71,70,0,6.22,LY,2021-06-16 01:35:15
159,Lüderitz,-26.6481,15.1594,58.59,71,0,5.14,NA,2021-06-16 01:35:16
160,Constitución,-35.3333,-72.4167,54.59,80,76,8.93,CL,2021-06-16 01:35:17
161,Sorong,-0.8833,131.25,81.68,75,89,4.47,ID,2021-06-16 01:35:18
162,Santa Cruz del Sur,20.7147,-77.9956,80.4,79,61,1.07,CU,2021-06-16 01:35:20
163,Sitka,57.0531,-135.33,55.29,76,75,12.66,US,2021-06-16 01:33:09
164,Alofi,-19.0595,-169.9187,80.49,74,75,14.97,NU,2021-06-16 01:35:22
165,Mahon,39.8885,4.2658,73.96,94,0,2.3,ES,2021-06-16 01:34:05
166,San Jose,37.3394,-121.895,76.19,38,1,1.99,US,2021-06-16 01:33:14
167,Pandan,14.0453,124.1694,88.83,63,81,6.53,PH,2021-06-16 01:35:25
168,Bilma,18.6853,12.9164,86.61,14,0,8.86,NE,2021-06-16 01:35:26
169,Tataouine,32.9297,10.4518,72.48,52,80,4.92,TN,2021-06-16 01:35:27
