,City_Name,City_Lat,City_Long,Temperature,Humidity,Cloudiness,Wind_Speed,Country,Date
67,Cedar City,37.6775,-113.0619,73.18,29,97,8.21,US,2021-06-17 05:01:13
68,Salalah,17.0151,54.0924,85.91,73,71,9.44,OM,2021-06-17 05:01:13
69,Pedara,37.6169,15.0567,65.08,58,85,3.83,IT,2021-06-17 05:01:14
70,Meulaboh,4.1363,96.1285,84.99,62,59,4.14,ID,2021-06-17 05:01:14
71,Baisha,26.5222,110.9311,94.69,52,58,2.86,CN,2021-06-17 05:01:14
72,Cabo San Lucas,22.8909,-109.9124,84.34,70,23,17.34,MX,2021-06-17 05:00:01
73,Chicama,-7.8447,-79.1469,66.16,89,70,5.68,PE,2021-06-17 05:01:15
74,Jamestown,42.097,-79.2353,47.84,88,30,0.67,US,2021-06-17 05:01:15
75,Butaritari,3.0707,172.7902,84.18,69,29,11.59,KI,2021-06-17 05:01:16
76,Hithadhoo,-0.6,73.0833,83.7,74,94,9.26,MV,2021-06-17 05:01:16
77,Swellendam,-34.0226,20.4417,54.64,74,1,4.63,ZA,2021-06-17 05:01:17
78,MahÃ©bourg,-20.4081,57.7,71.26,70,87,17.22,MU,2021-06-17 05:01:17
79,Harper,4.375,-7.7169,77.11,82,100,4.7,LR,2021-06-17 05:01:18
80,Herat Province,34.5,62.0,80.26,12,0,24.32,AF,2021-06-17 05:01:18
81,Huilong,31.8111,121.655,75.97,89,100,11.45,CN,2021-06-17 05:01:18
82,SangmÃ©lima,2.9333,11.9833,66.49,98,100,3.29,CM,2021-06-17 05:01:19
83,Rosarito,32.3333,-117.0333,66.15,78,14,7.31,MX,2021-06-17 05:00:04
84,Sittwe,20.15,92.9,78.57,91,100,15.97,MM,2021-06-17 05:01:19
85,GambÄla,8.25,34.5833,71.58,95,100,2.55,ET,2021-06-17 05:01:20
86,Quatre Cocos,-20.2078,57.7625,71.1,73,64,16.91,MU,2021-06-17 05:01:20
87,Manggar,-2.8833,108.2667,86.41,61,97,7.38,ID,2021-06-17 05:01:21
88,ÅabrÄtah,32.7933,12.4885,74.32,54,3,8.34,LY,2021-06-17 05:01:21
89,Provideniya,64.3833,-173.3,44.71,81,90,11.18,RU,2021-06-17 05:01:22
90,Macheng,31.1783,115.0319,84.11,76,100,14.23,CN,2021-06-17 05:01:22
91,Saint George,37.1041,-113.5841,96.17,12,1,0.0,US,2021-06-17 05:00:21
92,Saldanha,-33.0117,17.9442,56.53,87,3,5.86,ZA,2021-06-17 05:01:23
93,Yaan,7.3833,8.5667,71.92,96,98,5.37,NG,2021-06-17 05:01:23
94,Vila Velha,-20.3297,-40.2925,65.95,94,15,1.01,BR,2021-06-17 05:00:37
95,Busselton,-33.65,115.3333,59.04,59,0,5.1,AU,2021-06-17 05:01:24
96,Hobart,-42.8794,147.3294,52.03,100,75,10.36,AU,2021-06-17 05:00:14
97,Curup,-3.4667,102.5333,82.18,67,34,3.36,ID,2021-06-17 05:01:24
98,Geraldton,-28.7667,114.6,66.61,48,0,14.97,AU,2021-06-17 05:01:25
99,Korla,41.7597,86.1469,81.57,14,100,13.33,CN,2021-06-17 05:01:25
100,Boquira,-12.8231,-42.7306,68.95,66,41,0.6,BR,2021-06-17 05:01:26
101,Bitung,1.4451,125.1824,86.85,73,47,7.96,ID,2021-06-17 05:01:26
102,Airai,-8.9266,125.4092,74.53,47,65,3.78,TL,2021-06-17 05:01:26
103,Assiut,27.180999999999997,31.1837,78.6,32,0,13.87,EG,2021-06-17 05:01:27
104,Rocha,-34.4833,-54.3333,49.91,66,100,8.79,UY,2021-06-17 05:01:09
105,Shitanjing,39.2342,106.3439,71.47,20,27,8.12,CN,2021-06-17 05:01:27
106,Bambous Virieux,-20.3428,57.7575,71.22,71,81,17.0,MU,2021-06-17 05:01:28
107,NÄ«lÄshwar,12.25,75.1,82.65,79,88,16.67,IN,2021-06-17 05:01:28
108,Hobyo,5.3505,48.5268,79.47,74,100,21.65,SO,2021-06-17 05:01:29
109,Canto do Buriti,-8.11,-42.9444,69.96,62,0,3.24,BR,2021-06-17 05:01:29
110,George Town,5.4112,100.3354,88.68,71,20,1.01,MY,2021-06-17 05:00:00
111,Qandala,11.472000000000001,49.8728,92.55,44,90,1.1,SO,2021-06-17 05:01:30
112,Sur,22.5667,59.5289,97.75,34,0,4.38,OM,2021-06-17 05:01:30
113,Grand Island,40.925,-98.34200000000001,83.62,46,7,12.59,US,2021-06-17 05:01:31
114,Yining,29.0361,114.5636,91.29,66,94,4.09,CN,2021-06-17 05:01:31
115,Bengkulu,-3.8004,102.2655,84.09,67,48,5.99,ID,2021-06-17 05:01:32
116,Kafanchan,9.5833,8.3,67.21,99,92,3.09,NG,2021-06-17 05:01:32
117,Nishihara,26.1842,127.7558,85.26,80,75,17.27,JP,2021-06-17 05:01:33
118,Kidal,18.4411,1.4078,87.17,12,0,10.49,ML,2021-06-17 05:01:33
119,Russell,32.3502,-85.1999,66.06,88,4,3.67,US,2021-06-17 05:01:34
120,NarÄyangarh,30.4833,77.1333,91.69,46,5,3.98,IN,2021-06-17 05:01:34
121,Port Blair,11.6667,92.75,85.5,74,97,17.09,IN,2021-06-17 04:57:55
122,Cap Malheureux,-19.9842,57.6142,71.47,83,14,5.99,MU,2021-06-17 05:01:34
123,Banfora,10.6333,-4.7667,74.64,80,77,4.94,BF,2021-06-17 05:01:35
124,San QuintÃ­n,30.4833,-115.95,65.93,80,1,3.51,MX,2021-06-17 05:01:35
125,SÃ£o Filipe,14.8961,-24.4956,72.28,84,30,3.47,CV,2021-06-17 05:01:36
126,Victoria Point,-27.5833,153.3,73.26,38,3,8.01,AU,2021-06-17 05:01:36
127,Muncar,-8.4333,114.3333,84.38,66,90,8.77,ID,2021-06-17 05:01:36
128,Te Anau,-45.4167,167.7167,43.32,80,74,4.07,NZ,2021-06-17 05:01:37
129,Sundargarh,22.1167,84.0333,80.49,69,100,6.49,IN,2021-06-17 05:01:37
130,Arrondissement de Perpignan,42.75,2.75,69.64,86,75,4.61,FR,2021-06-17 05:01:38
131,Pangkalanbuun,-2.6833,111.6167,83.44,82,98,2.93,ID,2021-06-17 05:01:38
132,Tingo MarÃ­a,-9.2895,-76.0088,66.85,93,100,1.81,PE,2021-06-17 04:59:16
133,Ahipara,-35.1667,173.1667,57.94,81,3,6.58,NZ,2021-06-17 05:01:39
134,Jurm,36.8648,70.8342,70.03,23,1,4.0,AF,2021-06-17 05:01:39
135,Morristown,36.214,-83.2949,59.67,69,3,2.91,US,2021-06-17 04:58:00
136,Dagana,16.5165,-15.5068,70.75,82,11,9.04,MR,2021-06-17 05:01:40
137,Port Hawkesbury,45.6169,-61.3485,57.13,96,39,1.01,CA,2021-06-17 05:01:40
138,Broome,42.2506,-75.833,45.63,84,51,1.99,US,2021-06-17 05:01:41
139,GonaÃ¯ves,19.45,-72.6833,80.37,81,19,3.29,HT,2021-06-17 05:01:41
140,Faanui,-16.4833,-151.75,80.46,77,88,21.88,PF,2021-06-17 05:01:41
141,Road Town,18.4167,-64.6167,81.63,81,84,22.15,VG,2021-06-17 05:01:42
142,Karratha,-20.7377,116.8463,71.89,32,100,21.41,AU,2021-06-17 05:01:42
143,Cartagena,10.3997,-75.5144,82.02,89,75,6.91,CO,2021-06-17 04:58:19
144,Luba,3.4568,8.5547,78.15,83,99,6.93,GQ,2021-06-17 05:01:43
145,Michigan City,41.7075,-86.895,53.89,100,90,3.36,US,2021-06-17 05:00:15
146,Santa Cruz de la Sierra,-17.8,-63.1667,56.03,73,100,13.29,BO,2021-06-17 05:01:38
147,Sawtell,-30.3833,153.1,68.02,45,0,9.22,AU,2021-06-17 05:01:44
148,Enid,36.3956,-97.8784,78.78,70,1,1.99,US,2021-06-17 05:01:01
149,Yenagoa,4.9247,6.2642,73.99,96,96,1.68,NG,2021-06-17 05:01:44
150,Marystown,47.1666,-55.1483,52.72,100,100,7.43,CA,2021-06-17 05:01:45
151,FukuechÅ,32.6881,128.8419,71.96,100,75,4.61,JP,2021-06-17 05:01:45
152,Mananjary,-21.2167,48.3333,67.64,77,26,4.47,MG,2021-06-17 05:01:46
153,Isoka,-10.1606,32.6335,52.12,81,33,0.81,ZM,2021-06-17 05:01:46
154,Margate,51.3813,1.3862,64.89,99,99,8.86,GB,2021-06-17 05:01:46
155,Cairns,-16.9167,145.7667,82.31,74,19,5.75,AU,2021-06-17 05:01:47
156,Boyolangu,-8.1181,111.8935,84.34,69,100,6.31,ID,2021-06-17 05:01:47
157,Hasaki,35.7333,140.8333,77.54,71,92,14.2,JP,2021-06-17 05:01:48
158,Shache,38.4167,77.2406,66.9,45,100,6.87,CN,2021-06-17 05:01:48
159,Camacha,33.0833,-16.3333,65.61,88,75,14.97,PT,2021-06-17 05:01:48
160,Jumla,29.2747,82.1838,61.11,91,100,1.81,NP,2021-06-17 05:01:49
161,Lompoc,34.6391,-120.4579,67.41,75,27,4.65,US,2021-06-17 05:00:51
162,Ginir,7.1333,40.7,63.1,66,100,3.15,ET,2021-06-17 05:01:50
163,Conde,-7.2597,-34.9075,71.69,94,17,8.14,BR,2021-06-17 05:01:08
164,Jiangyou,31.7667,104.7167,68.97,84,100,3.36,CN,2021-06-17 05:01:51
165,Esperance,-33.8667,121.9,58.42,54,87,7.09,AU,2021-06-17 05:01:51
166,Yurimaguas,-5.9,-76.0833,69.85,99,49,0.6,PE,2021-06-17 05:01:51
167,Marsh Harbour,26.5412,-77.0636,80.06,73,100,4.68,BS,2021-06-17 05:01:52
168,Iwanai,42.9744,140.5089,71.08,64,7,6.4,JP,2021-06-17 05:01:52
169,Kununurra,-15.7667,128.7333,87.78,20,60,8.05,AU,2021-06-17 05:01:52
170,Cayenne,4.9333,-52.3333,75.09,91,75,2.3,GF,2021-06-17 05:01:53
171,Comodoro Rivadavia,-45.8667,-67.5,40.51,40,0,4.5,AR,2021-06-17 05:00:01
172,Calabozo,8.9242,-67.4293,72.9,96,81,3.69,VE,2021-06-17 04:58:01
173,Ballina,-28.8667,153.5667,69.94,32,0,9.91,AU,2021-06-17 05:01:54
174,Knysna,-34.0363,23.0471,57.6,76,0,5.26,ZA,2021-06-17 05:01:54
175,Yumen,40.2833,97.2,76.75,10,99,22.1,CN,2021-06-17 05:01:55
176,Castro,-24.7911,-50.0119,50.52,94,90,6.46,BR,2021-06-17 05:01:55
177,Cape Town,-33.9258,18.4232,56.91,90,75,1.01,ZA,2021-06-17 04:56:58
178,Pemangkat,1.1667,108.9667,80.38,79,100,1.52,ID,2021-06-17 05:01:55
179,OmbouÃ©,-1.5746,9.2618,75.87,86,100,6.91,GA,2021-06-17 05:01:56
181,San Jose,37.3394,-121.895,70.75,52,20,4.61,US,2021-06-17 05:01:57
182,Gamba,-2.65,10.0,75.15,86,100,4.63,GA,2021-06-17 05:01:57
183,ValparaÃ­so,-33.0393,-71.6273,54.48,77,5,3.94,CL,2021-06-17 05:01:57
184,Chui,-33.6971,-53.4616,51.21,78,100,11.07,UY,2021-06-17 05:01:58
185,Dalbandin,28.8947,64.4101,92.3,4,0,2.39,PK,2021-06-17 05:01:58
186,Tuy Hoa,13.0833,109.3,95.58,48,42,6.22,VN,2021-06-17 05:00:54
187,AiligandÃ­,9.2333,-78.0167,79.36,86,43,5.03,PA,2021-06-17 05:01:59
188,Luwuk,-0.9516,122.7875,83.95,73,27,4.54,ID,2021-06-17 05:01:59
189,Menongue,-14.6585,17.691,45.82,49,3,3.29,AO,2021-06-17 05:02:00
190,St. George's,12.0564,-61.7485,78.64,81,100,9.73,GD,2021-06-17 05:02:00
191,Khovd,48.0056,91.6419,68.47,30,1,7.43,MN,2021-06-17 05:02:01
192,Mawlaik,23.6333,94.4167,77.47,96,97,1.99,MM,2021-06-17 05:02:01
193,Avera,33.194,-82.5271,67.15,57,0,5.39,US,2021-06-17 05:02:01
194,General Roca,-39.0333,-67.5833,41.05,48,100,6.87,AR,2021-06-17 05:02:02
195,Adrar,20.5022,-10.0711,86.83,18,47,10.04,MR,2021-06-17 05:02:02
196,Coquimbo,-29.9533,-71.3436,56.39,79,95,1.03,CL,2021-06-17 05:02:03
197,La Palma,33.8464,-118.0467,66.88,80,75,5.75,US,2021-06-17 04:57:58
198,Bubaque,11.2833,-15.8333,80.47,84,49,11.32,GW,2021-06-17 05:02:03
199,PeruÃ­be,-24.32,-46.9983,61.77,93,96,3.27,BR,2021-06-17 05:02:04
200,Rio Brilhante,-21.8019,-54.5464,62.78,71,100,5.88,BR,2021-06-17 04:57:24
201,Labuan,5.2767,115.2417,87.96,75,18,7.56,MY,2021-06-17 05:02:04
202,Hostotipaquillo,21.0667,-104.0667,69.91,61,100,1.39,MX,2021-06-17 05:02:05
203,Baturaden,-7.3,109.2167,71.91,78,99,1.05,ID,2021-06-17 05:02:05
204,Pisco,-13.7,-76.2167,63.01,90,57,2.37,PE,2021-06-17 05:02:06
205,Iquitos,-3.7481,-73.2472,70.99,98,100,1.12,PE,2021-06-17 05:02:06
206,MÃ¡ncora,-4.1078,-81.0475,74.23,73,88,7.25,PE,2021-06-17 05:02:07
