Unnamed: 0,City_Name,City_Lat,City_Long,Temperature,Humidity,Cloudiness,Wind_Speed,Country,Date
295,Ocampo,21.65,-101.5,70.29,32,79,18.28,MX,2021-06-16 22:16:05
296,Brus Laguna,15.75,-84.4833,83.93,77,99,7.09,HN,2021-06-16 22:16:05
297,Alice Springs,-23.7,133.8833,44.15,53,84,5.75,AU,2021-06-16 22:16:06
298,Vila,42.0304,-8.1588,56.57,90,99,0.94,PT,2021-06-16 22:16:06
299,Alghero,40.5589,8.3181,71.69,94,0,2.3,IT,2021-06-16 22:16:06
300,Palenque/Temp,17.5167,-91.9667,82.56,83,90,0.0,MX,2021-06-16 22:16:07
301,San Luis,-33.295,-66.3356,36.12,92,100,2.37,AR,2021-06-16 22:14:42
302,Porbandar,21.6422,69.6093,84.49,79,93,15.64,IN,2021-06-16 22:16:07
303,Nongstoin,25.5167,91.2667,64.94,97,99,4.7,IN,2021-06-16 22:16:08
304,Felanitx,39.4696,3.1483,74.91,85,86,8.93,ES,2021-06-16 22:16:08
305,Gorontalo,0.5412,123.0595,73.65,92,45,2.08,ID,2021-06-16 22:16:09
306,Port Shepstone,-30.7414,30.455,69.62,69,85,13.24,ZA,2021-06-16 22:16:09
307,Trelew,-43.248999999999995,-65.3051,42.01,44,72,7.74,AR,2021-06-16 22:12:11
308,Irituia,-1.7711,-47.4381,79.92,76,60,4.85,BR,2021-06-16 22:16:10
309,Praia,14.9215,-23.5087,75.74,73,0,11.5,CV,2021-06-16 22:16:11
310,Awjilah,29.1081,21.2869,79.61,31,0,10.71,LY,2021-06-16 22:16:11
311,Kinablangan,7.6947,126.5503,78.39,79,77,3.2,PH,2021-06-16 22:16:11
312,Pandan,14.0453,124.1694,81.21,83,11,6.78,PH,2021-06-16 22:16:12
313,Ribeira Grande,38.5167,-28.7,69.21,93,100,17.31,PT,2021-06-16 22:16:12
314,Xai-Xai,-25.0519,33.6442,63.99,84,9,10.11,MZ,2021-06-16 22:16:13
315,Goderich,43.7501,-81.7165,61.05,44,40,9.22,CA,2021-06-16 22:16:13
316,Paragominas,-2.9667,-47.4833,79.93,70,90,4.25,BR,2021-06-16 22:16:14
317,Dolisie,-4.1997,12.6739,68.99,95,20,3.83,CG,2021-06-16 22:16:14
318,Carutapera,-1.195,-46.02,77.25,85,3,5.99,BR,2021-06-16 22:16:14
319,Virginia Beach,36.8529,-75.97800000000001,79.11,57,20,12.66,US,2021-06-16 22:12:28
320,Santiago de Cuba,20.0247,-75.8219,86.11,74,40,6.91,CU,2021-06-16 22:16:15
321,Saint-Pierre,-21.3393,55.4781,68.45,82,40,17.27,RE,2021-06-16 22:16:15
322,Ramnagar,29.4,79.1167,77.88,77,92,1.9,IN,2021-06-16 22:16:16
323,Kudahuvadhoo,2.6708,72.8944,83.61,73,67,10.49,MV,2021-06-16 22:16:16
324,Along,28.1667,94.7667,74.48,99,87,0.45,IN,2021-06-16 22:16:17
325,Paita,-5.0892,-81.1144,73.96,79,38,17.76,PE,2021-06-16 22:16:17
326,Durant,33.994,-96.3708,96.73,30,1,5.75,US,2021-06-16 22:12:11
327,Mabaruma,8.2,-59.7833,75.87,96,99,4.21,GY,2021-06-16 22:16:18
328,Atambua,-9.1061,124.8925,67.6,86,21,5.55,ID,2021-06-16 22:16:18
329,Los Llanos de Aridane,28.6585,-17.9182,66.13,90,40,18.41,ES,2021-06-16 22:16:19
331,Bandarbeyla,9.4942,50.8122,77.83,79,100,29.35,SO,2021-06-16 22:16:19
332,Puerto NariÃ±o,-3.7703,-70.3831,76.95,94,29,2.19,CO,2021-06-16 22:16:20
333,Antofagasta,-23.65,-70.4,60.08,75,0,5.46,CL,2021-06-16 22:16:20
334,Constantine,36.365,6.6147,76.41,41,0,5.75,DZ,2021-06-16 22:16:21
335,Waipawa,-41.4122,175.5153,50.27,83,69,4.52,NZ,2021-06-16 22:16:21
336,RÄjÄpur,25.3833,81.15,84.99,68,100,5.82,IN,2021-06-16 22:16:21
337,Saint-Joseph,-21.3667,55.6167,67.35,81,44,13.02,RE,2021-06-16 22:16:22
338,Bandar,2.05,99.75,74.19,85,99,2.19,ID,2021-06-16 22:16:22
339,CustÃ³dia,-8.0875,-37.6431,73.2,69,35,12.35,BR,2021-06-16 22:16:23
340,Mahibadhoo,3.7833,72.9667,83.19,76,40,12.97,MV,2021-06-16 22:16:23
341,Moerai,-22.4333,-151.3333,75.24,79,15,24.32,PF,2021-06-16 22:16:23
342,West Bay,19.3667,-81.4167,85.33,75,20,7.0,KY,2021-06-16 22:16:24
343,Fortuna,40.5982,-124.1573,67.26,68,20,4.0,US,2021-06-16 22:11:48
344,Thabazimbi,-24.5917,27.4116,55.17,39,7,2.82,ZA,2021-06-16 22:16:25
345,Avera,33.194,-82.5271,85.57,48,86,7.99,US,2021-06-16 22:16:25
346,Taoudenni,22.6783,-3.9836,103.68,7,20,8.99,ML,2021-06-16 22:16:26
347,Ishigaki,24.3448,124.1572,80.73,100,75,2.3,JP,2021-06-16 22:16:26
348,Chabahar,25.2919,60.643,85.95,86,0,5.97,IR,2021-06-16 22:16:26
349,Leh,34.1667,77.5833,45.52,79,85,3.11,IN,2021-06-16 22:16:27
350,Jalu,29.0331,21.5482,81.37,27,0,9.37,LY,2021-06-16 22:16:27
351,Camopi,3.1655,-52.3158,73.71,99,100,2.3,GF,2021-06-16 22:16:28
352,San Buenaventura,27.0833,-101.5333,90.52,45,75,6.91,MX,2021-06-16 22:16:28
353,Genoa,44.4129,8.9573,72.16,84,0,5.99,IT,2021-06-16 22:16:28
354,Cabinda,-5.55,12.2,74.89,88,11,7.61,AO,2021-06-16 22:16:29
355,Tunggol,5.8446,121.1544,81.3,80,93,5.75,PH,2021-06-16 22:16:29
356,Nisibis,37.0778,41.2178,71.28,49,0,11.07,TR,2021-06-16 22:16:30
357,DehlorÄn,32.6941,47.2679,92.14,13,0,7.76,IR,2021-06-16 22:16:30
358,Flinders,-34.5833,150.8552,53.85,67,8,7.0,AU,2021-06-16 22:16:30
359,Midland,31.9974,-102.0779,96.42,17,1,13.8,US,2021-06-16 22:15:00
360,Lethem,3.3803,-59.7968,78.04,86,85,1.41,GY,2021-06-16 22:16:31
361,Abu Samrah,35.3029,37.1841,65.44,73,0,11.14,SY,2021-06-16 22:16:31
362,Shimoda,34.6667,138.95,66.11,83,100,13.04,JP,2021-06-16 22:16:32
363,Djebeniana,35.035,10.9081,76.8,74,1,14.81,TN,2021-06-16 22:16:32
364,Quatre Cocos,-20.2078,57.7625,69.1,80,75,15.12,MU,2021-06-16 22:16:32
365,ParanÃ¡,-31.732,-60.5238,45.05,84,98,7.16,AR,2021-06-16 22:16:33
366,Caldwell,43.6629,-116.6874,78.93,22,1,4.61,US,2021-06-16 22:16:33
367,Fort-Shevchenko,44.5086,50.263000000000005,83.14,44,0,15.39,KZ,2021-06-16 22:16:34
368,MitÃº,1.1983,-70.1733,74.86,96,99,1.72,CO,2021-06-16 22:16:34
369,Ixtapa,20.7,-105.2,87.03,70,90,6.91,MX,2021-06-16 22:16:34
370,VerÄval,20.9,70.3667,84.36,81,91,15.93,IN,2021-06-16 22:16:35
371,Eilat,29.5581,34.9482,80.44,36,0,16.11,IL,2021-06-16 22:16:35
372,Gazojak,41.1875,61.4036,82.04,16,1,11.41,TM,2021-06-16 22:16:36
373,Tsiroanomandidy,-18.7667,46.0333,57.65,79,0,1.79,MG,2021-06-16 22:16:36
374,NajrÄn,17.4924,44.1277,79.45,35,69,4.34,SA,2021-06-16 22:16:37
375,Banyumas,-7.5142,109.2942,74.08,95,100,1.66,ID,2021-06-16 22:16:37
376,Malanje,-9.5402,16.340999999999998,61.11,43,3,2.62,AO,2021-06-16 22:16:37
377,Champerico,14.3,-91.9167,85.1,77,100,10.36,GT,2021-06-16 22:16:38
378,Volos,39.3667,22.9458,69.4,55,12,2.53,GR,2021-06-16 22:16:38
379,PotosÃ­,-19.5836,-65.7531,43.41,22,67,8.5,BO,2021-06-16 22:14:50
380,Diffa,13.3154,12.6113,88.56,38,61,8.75,NE,2021-06-16 22:13:17
381,JoshÄ«math,30.5667,79.5667,66.2,82,92,1.81,IN,2021-06-16 22:16:39
382,Nau,40.1525,69.3686,72.19,29,0,4.76,TJ,2021-06-16 22:16:40
383,Mossamedes,-15.1961,12.1522,66.42,71,19,6.73,AO,2021-06-16 22:16:40
384,Hisor,38.525,68.5512,64.15,29,0,3.51,TJ,2021-06-16 22:16:40
385,Bull Savanna,17.8868,-77.5902,81.95,71,50,17.25,JM,2021-06-16 22:16:41
386,Naberera,-4.2,36.9333,55.06,91,62,7.2,TZ,2021-06-16 22:16:41
387,LeÃ§a da Palmeira,41.191,-8.7003,67.44,81,75,3.44,PT,2021-06-16 22:16:42
388,Kaohsiung City,22.6163,120.3133,80.51,84,75,4.61,TW,2021-06-16 22:16:42
389,Palora,-1.7,-77.9333,71.71,96,97,2.53,EC,2021-06-16 22:16:42
390,Kabinda,-6.1333,24.4833,67.39,31,7,3.56,CD,2021-06-16 22:16:43
391,Belmonte,-15.8631,-38.8828,75.7,74,42,7.34,BR,2021-06-16 22:16:43
392,Miandrivazo,-19.5167,45.4667,70.38,54,1,2.8,MG,2021-06-16 22:16:44
393,Phan Thiet,10.9333,108.1,77.43,86,80,7.83,VN,2021-06-16 22:15:54
394,San JerÃ³nimo,-11.9472,-75.2829,56.8,58,91,7.25,PE,2021-06-16 22:16:44
395,BangangtÃ©,5.1409,10.5198,61.72,98,99,4.85,CM,2021-06-16 22:16:44
396,Half Moon Bay,37.4636,-122.4286,88.25,35,40,9.22,US,2021-06-16 22:16:45
397,TutÃ³ia,-2.7619,-42.2744,77.16,88,5,6.31,BR,2021-06-16 22:16:45
398,Lindi,-10.0,39.7167,64.65,96,3,4.68,TZ,2021-06-16 22:16:46
399,Atoka,34.4001,-96.0169,93.43,52,0,4.29,US,2021-06-16 22:16:46
400,Santa Cruz CabrÃ¡lia,-16.2781,-39.0247,75.43,69,20,5.75,BR,2021-06-16 22:11:47
401,Tianpeng,30.9866,103.9393,71.64,94,100,3.09,CN,2021-06-16 22:16:47
402,Bodden Town,19.2833,-81.25,85.73,55,20,7.0,KY,2021-06-16 22:16:47
403,De Aar,-30.6497,24.0123,49.78,55,79,4.16,ZA,2021-06-16 22:16:48
404,Dargaville,-35.9333,173.8833,59.92,76,6,8.77,NZ,2021-06-16 22:16:48
405,Phrae,18.0833,100.0,71.55,92,100,2.46,TH,2021-06-16 22:16:49
406,WaspÃ¡n,14.7419,-83.9717,80.28,63,72,7.54,NI,2021-06-16 22:16:49
407,Diamantino,-14.4086,-56.4461,77.45,47,66,2.93,BR,2021-06-16 22:13:14
408,MÄdhogarh,26.276,79.1869,85.55,62,100,3.31,IN,2021-06-16 22:16:50
409,BÄrmer,25.75,71.3833,86.29,65,27,13.44,IN,2021-06-16 22:16:50
410,Jiujiang,29.7333,115.9833,81.99,84,97,4.07,CN,2021-06-16 22:16:50
411,Dekar,-21.5333,21.9333,54.37,30,1,4.18,BW,2021-06-16 22:16:51
412,Nelson Bay,-32.7167,152.15,52.63,79,1,1.99,AU,2021-06-16 22:16:51
413,Nicoya,10.1483,-85.45200000000001,76.55,87,100,2.86,CR,2021-06-16 22:16:52
414,Cape Town,-33.9258,18.4232,59.14,88,16,3.0,ZA,2021-06-16 22:12:18
415,Liberty,31.8335,-81.5004,88.88,33,75,8.05,US,2021-06-16 22:16:52
416,Kota Belud,6.351,116.4305,76.86,84,73,4.18,MY,2021-06-16 22:16:53
417,Syracuse,37.0881,15.2792,69.8,66,3,7.81,IT,2021-06-16 22:16:53
418,South Lake Tahoe,38.9332,-119.9844,83.52,15,20,5.75,US,2021-06-16 22:16:53
419,Khanbari,27.3747,87.2039,72.91,91,82,2.06,NP,2021-06-16 22:16:54
420,Cam Ranh,11.9214,109.1591,78.76,83,20,3.44,VN,2021-06-16 22:16:54
421,Al BardÄ«yah,31.7561,25.0865,70.23,63,0,8.03,LY,2021-06-16 22:16:55
422,Mahajanga,-15.7167,46.3167,71.62,68,20,8.05,MG,2021-06-16 22:16:55
423,ZanjÄn,36.6736,48.4787,70.25,47,0,6.93,IR,2021-06-16 22:16:55
424,AiligandÃ­,9.2333,-78.0167,82.92,72,98,4.5,PA,2021-06-16 22:16:56
425,Jardim,-21.4803,-56.1381,66.78,57,87,3.85,BR,2021-06-16 22:16:56
426,Paro,27.4305,89.4133,62.92,94,91,0.96,BT,2021-06-16 22:16:57
427,Mangan,27.5167,88.5333,74.57,85,74,1.92,IN,2021-06-16 22:16:57
428,Madang,-5.2246,145.7966,75.04,95,100,2.86,PG,2021-06-16 22:16:57
429,Nioro,13.35,-15.75,83.68,60,100,11.7,GM,2021-06-16 22:16:58
430,Ridgecrest,35.6225,-117.6709,114.62,5,75,7.0,US,2021-06-16 22:13:11
431,Viedma,-40.8135,-62.9967,45.36,50,100,5.03,AR,2021-06-16 22:16:58
432,Ginda,30.6945,78.4932,63.43,75,91,3.76,IN,2021-06-16 22:16:59
433,Kavaratti,10.5669,72.642,83.05,80,98,24.18,IN,2021-06-16 22:16:59
434,Phang Nga,8.4509,98.5298,78.84,94,96,1.05,TH,2021-06-16 22:17:00
435,ConceiÃ§Ã£o da Barra,-18.5933,-39.7322,68.97,77,42,5.57,BR,2021-06-16 22:17:00
436,Uyovu,-3.2833,31.5258,69.22,50,96,0.92,TZ,2021-06-16 22:17:00
437,Mvuma,-19.2792,30.5283,50.04,51,27,5.66,ZW,2021-06-16 22:17:01
438,Siyabuswa,-25.1132,29.0445,54.14,38,2,3.2,ZA,2021-06-16 22:17:01
439,CaucayÃ¡,-0.1934,-74.7819,74.82,96,87,2.84,CO,2021-06-16 22:17:02
440,Muswellbrook,-32.2667,150.9,47.53,87,0,8.81,AU,2021-06-16 22:17:02
441,Åtefan cel Mare,46.9833,26.5167,61.75,35,59,8.75,RO,2021-06-16 22:17:02
442,KÃ©dougou,12.5579,-12.1743,85.28,58,46,4.68,SN,2021-06-16 22:17:03
443,Nouadhibou,20.930999999999997,-17.0347,69.78,73,0,17.27,MR,2021-06-16 22:17:03
444,Cockburn Town,21.4612,-71.1419,81.16,81,28,18.39,TC,2021-06-16 22:17:04
445,Monrovia,6.3005,-10.7969,76.77,78,81,7.54,LR,2021-06-16 22:17:04
446,Halifax,44.6453,-63.5724,67.73,76,20,6.91,CA,2021-06-16 22:15:09
447,Barcelos,41.5388,-8.6151,67.46,95,97,2.73,PT,2021-06-16 22:14:20
448,EirunepÃ©,-6.6603,-69.8736,77.22,84,56,0.58,BR,2021-06-16 22:17:05
449,Susanville,40.4163,-120.65299999999999,82.76,12,1,4.0,US,2021-06-16 22:17:05
450,Phek,25.6667,94.5,59.18,99,100,2.82,IN,2021-06-16 22:17:06
451,Lakes Entrance,-37.8811,147.981,42.19,88,78,9.28,AU,2021-06-16 22:17:06
452,Santa Maria,-29.6842,-53.8069,46.15,75,47,4.47,BR,2021-06-16 22:17:07
453,Nobres,-14.7203,-56.3275,78.66,42,48,3.65,BR,2021-06-16 22:17:07
454,Ribeira Brava,32.65,-17.0667,69.26,78,89,3.89,PT,2021-06-16 22:17:07
455,Djibouti,11.5,42.5,89.02,35,80,1.3,DJ,2021-06-16 22:17:08
456,KattivÄkkam,13.2167,80.3167,87.08,67,100,16.58,IN,2021-06-16 22:17:08
457,Kathu,7.9178,98.3332,86.65,73,100,6.44,TH,2021-06-16 22:17:08
458,Oranjestad,12.524000000000001,-70.027,83.91,77,20,11.01,AW,2021-06-16 22:12:32
459,Cotonou,6.3654,2.4183,82.38,78,20,13.8,BJ,2021-06-16 22:17:09
460,FayaouÃ©,-20.65,166.5333,75.09,82,74,12.57,NC,2021-06-16 22:17:10
461,Labuan,5.2767,115.2417,75.56,94,40,0.0,MY,2021-06-16 22:17:10
462,CopiapÃ³,-27.3667,-70.3333,56.89,52,2,4.54,CL,2021-06-16 22:17:10
463,ShingÅ«,33.7333,135.9833,67.91,92,93,8.39,JP,2021-06-16 22:17:11
464,Eshowe,-28.8865,31.4699,59.7,43,50,5.32,ZA,2021-06-16 22:17:11
465,Äsind,25.7333,74.3333,85.91,46,76,6.76,IN,2021-06-16 22:17:12
466,Kamaishi,39.2667,141.8833,63.34,95,100,5.44,JP,2021-06-16 22:17:12
467,Prestea,5.4327,-2.1428,73.78,96,100,6.35,GH,2021-06-16 22:17:12
468,Catemaco,18.4167,-95.1167,74.95,73,86,10.56,MX,2021-06-16 22:17:13
469,Mana,5.6592,-53.7767,78.3,87,98,9.26,GF,2021-06-16 22:17:13
470,Sokoni,-6.4333,39.55,76.64,71,42,13.2,TZ,2021-06-16 22:17:14
471,Monywa,22.1167,95.1333,79.7,78,95,13.18,MM,2021-06-16 22:17:14
472,Burnie,-41.0667,145.9167,49.75,87,99,3.94,AU,2021-06-16 22:17:14
473,Kermanshah,34.3142,47.065,72.5,16,0,0.0,IR,2021-06-16 22:17:15
474,Marawi,7.9986,124.2928,65.64,93,63,2.39,PH,2021-06-16 22:17:15
475,Balagunan,7.4922,125.5211,75.96,91,42,2.64,PH,2021-06-16 22:17:16
476,GÃ¶rele,41.0308,39.0031,67.44,93,78,9.62,TR,2021-06-16 22:17:16
477,Progreso,21.2833,-89.6667,80.71,92,100,9.98,MX,2021-06-16 22:17:16
478,Somotillo,13.0433,-86.9064,82.54,82,88,3.13,NI,2021-06-16 22:17:17
479,Maragogi,-9.0122,-35.2225,74.93,90,27,7.92,BR,2021-06-16 22:17:17
480,Nikolskoye,59.7035,30.7861,54.77,67,96,4.36,RU,2021-06-16 22:17:18
481,Farafangana,-22.8167,47.8333,67.33,71,47,3.27,MG,2021-06-16 22:17:18
482,Bara,10.3744,10.7288,75.2,74,80,5.23,NG,2021-06-16 22:17:18
483,Shemgang,27.2169,90.6579,61.79,99,99,2.64,BT,2021-06-16 22:17:19
484,Nanzhou,29.3596,112.4024,79.27,87,90,4.32,CN,2021-06-16 22:17:19
485,Sinnamary,5.3833,-52.95,78.21,88,100,9.57,GF,2021-06-16 22:17:20
486,Pascagoula,30.3658,-88.5561,90.07,55,75,4.61,US,2021-06-16 22:17:20
487,MaraÃ£,-1.8333,-65.3667,75.56,91,70,1.95,BR,2021-06-16 22:17:21
488,Chu,43.5983,73.7614,68.23,28,100,5.3,KZ,2021-06-16 22:17:21
489,AcarÃ¡,-1.9608,-48.1967,78.1,82,64,2.42,BR,2021-06-16 22:17:21
490,Pemba,-12.974,40.5178,73.33,85,43,11.27,MZ,2021-06-16 22:17:22
491,Bredasdorp,-34.5322,20.0403,52.92,87,3,3.44,ZA,2021-06-16 22:17:22
492,Kribi,2.95,9.9167,77.4,87,100,10.33,CM,2021-06-16 22:17:23
493,Labuhan,-6.8844,112.2051,77.05,85,86,5.99,ID,2021-06-16 22:17:23
494,Marzuq,14.4,46.4667,82.08,28,99,3.24,YE,2021-06-16 22:17:24
495,Lashio,22.9333,97.75,67.86,98,90,0.4,MM,2021-06-16 22:17:24
496,Naples,40.8333,14.25,70.09,79,0,2.3,IT,2021-06-16 22:14:32
497,AlcalÃ¡ la Real,37.4614,-3.923,59.74,86,100,1.01,ES,2021-06-16 22:17:25
498,Linfen,36.0889,111.5189,68.58,73,95,6.38,CN,2021-06-16 22:17:25
499,The Valley,18.217,-63.0578,82.54,78,40,14.97,AI,2021-06-16 22:17:25
500,Banamba,13.55,-7.45,81.43,52,100,11.99,ML,2021-06-16 22:17:26
501,Russell,32.3502,-85.1999,86.49,41,1,6.91,US,2021-06-16 22:15:05
502,St. George's,12.0564,-61.7485,78.48,94,75,12.66,GD,2021-06-16 22:17:26
503,Whitianga,-36.8333,175.7,59.02,81,11,8.39,NZ,2021-06-16 22:17:27
504,Faya,18.3851,42.4509,66.72,33,24,0.49,SA,2021-06-16 22:17:27
505,PedasÃ­,7.5333,-80.0333,78.44,77,86,5.44,PA,2021-06-16 22:17:28
506,Tevaitoa,-16.7833,-151.5,81.07,75,100,22.86,PF,2021-06-16 22:17:28
507,Sola,-13.8833,167.55,81.19,78,34,12.17,VU,2021-06-16 22:17:28
508,Jambi City,-1.6,103.6167,72.84,95,56,2.66,ID,2021-06-16 22:17:29
509,Paoua,7.2427,16.4406,68.22,94,69,0.96,CF,2021-06-16 22:17:29
510,Daru,-9.0763,143.2092,79.29,86,100,9.06,PG,2021-06-16 22:17:30
511,Dixon,38.4455,-121.8233,97.72,18,1,6.91,US,2021-06-16 22:17:30
512,Necochea,-38.5473,-58.7368,43.03,60,100,7.4,AR,2021-06-16 22:17:31
514,NdjolÃ©,-0.1783,10.7649,74.32,96,92,4.12,GA,2021-06-16 22:17:31
515,Pa Sang,18.5262,98.9394,76.91,64,99,0.69,TH,2021-06-16 22:17:32
516,Lata,40.1629,-8.3327,63.21,94,37,0.81,PT,2021-06-16 22:17:32
517,Santa Isabel Rio Negro,-0.4139,-65.0192,74.23,94,97,1.7,BR,2021-06-16 22:17:32
518,ShÄ«eli,44.1667,66.75,77.04,19,0,7.74,KZ,2021-06-16 22:17:33
519,Laguna,38.421,-121.4238,97.75,11,1,3.0,US,2021-06-16 22:17:33
520,Nieuwpoort,51.1244,2.7735,72.64,71,75,3.44,BE,2021-06-16 22:17:34
521,NgaoundÃ©rÃ©,7.3167,13.5833,63.28,96,75,4.63,CM,2021-06-16 22:17:34
522,Kloulklubed,7.0419,134.2556,75.7,75,99,4.54,PW,2021-06-16 22:17:34
523,Puerto Rico,-26.796,-55.023999999999994,56.25,75,88,4.54,AR,2021-06-16 22:14:35
524,Palmas,-10.2128,-48.3603,82.27,69,0,2.3,BR,2021-06-16 22:17:35
525,Port Hedland,-20.3167,118.5667,59.05,72,100,9.22,AU,2021-06-16 22:17:35
526,Provideniya,64.3833,-173.3,42.91,75,90,8.95,RU,2021-06-16 22:17:36
527,Islamkot,24.6997,70.17699999999999,84.58,74,1,12.55,PK,2021-06-16 22:17:36
528,Deneysville,-26.8908,28.0971,49.96,38,40,5.91,ZA,2021-06-16 22:17:37
529,Port Macquarie,-31.4333,152.9167,47.37,80,0,4.79,AU,2021-06-16 22:17:37
530,Agadez,19.75,10.25,87.89,11,0,11.45,NE,2021-06-16 22:17:38
531,Scottsboro,34.6723,-86.0341,82.98,42,1,8.05,US,2021-06-16 22:17:38
532,Ipueiras,-7.0333,-40.45,81.05,37,80,6.82,BR,2021-06-16 22:17:39
533,Kisangani,0.5167,25.2,72.21,88,100,2.73,CD,2021-06-16 22:17:39
534,Obo,5.3998,26.4869,69.04,98,100,4.27,CF,2021-06-16 22:17:39
535,Lagoa,39.05,-27.9833,63.54,91,100,26.28,PT,2021-06-16 22:17:40
536,Sedona,34.8697,-111.76100000000001,103.33,9,1,3.0,US,2021-06-16 22:15:52
537,Scottsbluff,41.8666,-103.6672,97.68,23,1,8.99,US,2021-06-16 22:17:40
538,Trairi,-3.2778,-39.2689,79.11,77,4,8.75,BR,2021-06-16 22:15:06
539,Gua Musang,4.8823,101.9644,72.84,95,90,1.03,MY,2021-06-16 22:17:41
540,Nishihara,26.1842,127.7558,81.1,94,75,9.22,JP,2021-06-16 22:17:42
541,Am Timan,11.0297,20.2827,80.49,59,83,5.77,TD,2021-06-16 22:17:42
542,OriximinÃ¡,-1.7656,-55.8661,76.69,83,93,3.8,BR,2021-06-16 22:17:43
543,Mashhad,36.297,59.6062,69.94,30,0,4.61,IR,2021-06-16 22:17:43
544,Nemuro,43.3236,145.575,48.49,92,99,8.88,JP,2021-06-16 22:17:43
545,Kentau,43.5206,68.5094,72.0,22,0,9.86,KZ,2021-06-16 22:17:44
546,Portland,45.5234,-122.6762,76.73,39,20,1.99,US,2021-06-16 22:15:04
547,New Philadelphia,40.4898,-81.4457,71.4,30,1,8.05,US,2021-06-16 22:14:02
548,Niono,14.2526,-5.992999999999999,85.39,49,4,15.23,ML,2021-06-16 22:17:44
549,Maba,24.6841,113.5984,77.18,93,81,3.2,CN,2021-06-16 22:17:45
550,Matara,5.9485,80.5353,78.57,87,100,10.54,LK,2021-06-16 22:17:45
551,Sambava,-14.2667,50.1667,69.89,81,25,13.09,MG,2021-06-16 22:17:46
552,Truth or Consequences,33.1284,-107.2528,100.08,12,1,11.5,US,2021-06-16 22:17:46
553,Atchison,39.563,-95.1216,92.25,51,5,9.06,US,2021-06-16 22:17:47
554,SÃ©mbÃ©,1.6481,14.5806,70.72,97,80,2.57,CG,2021-06-16 22:17:47
555,Tingo MarÃ­a,-9.2895,-76.0088,76.44,76,98,1.03,PE,2021-06-16 22:17:47
556,Mendi,-6.1761,143.6513,56.95,91,89,1.68,PG,2021-06-16 22:17:48
557,Caconda,-13.7333,15.0667,53.96,38,19,2.75,AO,2021-06-16 22:17:48
558,Ugoofaaru,5.6667,73.0,82.71,77,69,14.25,MV,2021-06-16 22:17:49
559,Poum,-20.2333,164.0167,74.14,81,76,4.7,NC,2021-06-16 22:17:49
560,Tondano,1.3038,124.9112,66.29,93,32,2.17,ID,2021-06-16 22:17:50
561,Hatton,6.8916,80.5955,61.03,95,100,2.39,LK,2021-06-16 22:17:21
562,Charters Towers,-20.1,146.2667,68.34,80,24,3.29,AU,2021-06-16 22:17:50
563,QuirinÃ³polis,-18.4483,-50.4517,68.99,35,44,3.83,BR,2021-06-16 22:17:51
564,Philadelphia,39.9523,-75.1638,76.84,32,20,3.0,US,2021-06-16 22:14:41
565,Itoman,26.1247,127.6694,82.24,94,75,8.05,JP,2021-06-16 22:17:51
566,Alenquer,-1.9417,-54.7383,80.94,86,44,4.12,BR,2021-06-16 22:17:52
567,Camocim,-2.9022,-40.8411,78.31,85,57,10.18,BR,2021-06-16 22:17:52
568,Ouadda,8.0777,22.4007,67.03,98,100,7.58,CF,2021-06-16 22:17:52
569,Degollado,20.467,-102.1498,83.95,20,96,12.91,MX,2021-06-16 22:17:53
570,Barstow,34.8986,-117.0228,111.58,6,77,2.46,US,2021-06-16 22:17:53
571,Harbatpur,30.45,77.7333,74.95,77,20,4.72,IN,2021-06-16 22:17:53
572,San QuintÃ­n,30.4833,-115.95,73.49,63,35,8.99,MX,2021-06-16 22:17:54
573,Mount Gambier,-37.8333,140.7667,46.31,100,100,4.61,AU,2021-06-16 22:17:54
574,Manono,-7.3,27.4167,68.79,36,15,3.51,CD,2021-06-16 22:17:55
575,Pasni,25.2631,63.471000000000004,84.94,79,0,4.43,PK,2021-06-16 22:17:55
576,Merauke,-8.4667,140.3333,76.5,89,96,10.02,ID,2021-06-16 22:17:55
577,Lisala,2.15,21.5167,69.78,92,96,2.46,CD,2021-06-16 22:17:56
578,Faxinal,-24.0003,-51.3194,53.83,85,20,1.88,BR,2021-06-16 22:17:56
579,RyÅtsu-minato,38.0833,138.4333,69.76,82,7,2.37,JP,2021-06-16 22:17:57
580,Ranipur,27.2879,68.5051,89.65,53,11,14.85,PK,2021-06-16 22:17:57
581,MÄga,4.05,38.3,61.2,63,95,9.31,ET,2021-06-16 22:17:58
582,Madingou,-4.1536,13.55,72.25,88,23,3.47,CG,2021-06-16 22:17:58
583,Äreka,7.0667,37.7,60.37,87,100,2.3,ET,2021-06-16 22:17:58
584,Menomonie,44.8755,-91.9193,82.76,62,0,9.26,US,2021-06-16 22:17:59
585,Oistins,13.0667,-59.5333,80.69,69,20,14.97,BB,2021-06-16 22:14:12
586,SantoÃ±a,43.4439,-3.4576,65.25,95,64,7.27,ES,2021-06-16 22:17:59
587,Chui,-33.6971,-53.4616,49.71,78,100,9.46,UY,2021-06-16 22:18:00
588,Province of Trapani,37.8333,12.6667,68.94,86,0,6.96,IT,2021-06-16 22:14:36
589,Hala,25.8131,68.4227,84.18,65,0,17.34,PK,2021-06-16 22:18:01
590,Tari,12.4086,4.4914,81.25,63,59,18.12,NG,2021-06-16 22:18:01
591,Boyolangu,-8.1181,111.8935,75.09,92,100,2.33,ID,2021-06-16 22:18:01
